VANID	AGE	PCT_C	PCT_P	PCT_J	PCT_M	FN_HISP	LN_HISP	FL_HISP	BG_SEG	PCT_SD2	PCT_LD2	REG_DAYS	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	VF1	VF2	VF3	VF4	VF5	VF6	VF7	VF8	VF9	VF10	VF11	VF12	VF13	VF14	VF15	VF16	VF17	VF18	VF19	VF20	VF21	VF22	VF23	VF24	VF25	VF26	VF27	VF28	VF29	VF30	VF31	VF32	VF33	VF34	VF35	VF36	VF37	VF38	VF39	VF40	VF41	VF42	VF43	VF44	VF45	VF46	VF47	VF48	VF49	VF50	GPELIG	PPELIG	MPELIG	EPELIG	C04	C06	PP08D	PP08R	set_no	set_no2	dv	pv	gd_Aw	gd_2w	sd_Aw	sd_2w	pad	pmd	pff	rbe	rbw	hrbe	hrbm	hrbl	lpsd2	lpld2	v08	sd2_sc1	sd2_Sc2	sd2_sc3	v08_Score
1	37	0	0	0	0	5.6	0	5.6	29.1	59.8	51.6	5158	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	75	12.5	0	33.3	0	0	0	0	1	57	N	Y	N	N	N	N	 	N	N	N	N	 	 	 	 	 	Y	70.2	54.9	62.5	87
1	38	0	0	0	0	1.2	0	1.2	0	72.7	58.5	7577	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	12.5	40	33.3	0	0	0	0	1	18	N	Y	N	 	N	N	 	 	Y	N	Y	 	 	 	 	 	N	78.9	76.9	77.9	75
1	50	0	0	0	0	0	0	0	25.3	84	53.7	5224	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	62.5	12.5	0	28.6	0	0	1	0	1	87	N	Y	N	 	Y	Y	 	 	Y	N	Y	 	 	 	 	Y	Y	86.2	91.4	88.8	97
9	49	0	18.2	0	0	5.1	.4	2.8	13.8	86.1	71	3530	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	33.3	6.7	0	0	0	0	1	51	N	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	95.7	94.3	95	83
1	30	0	0	0	0	0	0	0	13.2	70.9	58.3	4426	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	50	42.9	60	50	0	0	0	0	1	17	N	Y	Y	Y	Y	Y	 	 	Y	N	Y	 	 	 	 	N	N	87	86.5	86.8	85
1	45	0	13.1	0	0	2.4	.2	1.3	8.8	79.4	57.4	6986	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	50	25	20	33.3	0	0	0	0	1	33	N	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	95.3	87.2	91.2	86
9	54	0	15.1	0	0	1.5	0	1.5	17.8	57.1	56.5	8598	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	100	87.5	80	90.5	0	0	0	0	1	25	N	Y	N	N	N	 	 	 	Y	N	Y	N	N	Y	 	Y	Y	33.3	40.1	36.7	88
9	91	0	0	0	0	1	0	1	22.4	84.6	74.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	12.5	40	33.3	0	0	1	0	2	79	N	Y	N	 	N	 	 	 	Y	N	N	 	 	 	Y	Y	N	86.7	87.6	87.2	99
9	48	0	0	0	0	8.7	0	8.7	18.5	87.3	71.1	7292	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	87.5	25	20	47.6	0	0	1	0	2	90	N	Y	N	 	Y	Y	 	 	 	N	N	N	N	Y	 	Y	Y	84.3	85.9	85.1	97
9	40	0	0	0	0	5.2	0	5.2	14.9	76.8	56.1	5043	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12.5	0	0	4.8	0	0	0	0	1	54	N	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	94.3	90	92.1	70
